Runno,d1,d2,d3,d4,d5,s1,s2,s3,s4,s5,v1,v2,v3,v4,v5,age,gender,genotype,AD,Total Dist 3,Total Dist 5 ,%Prox Day 3,%Prox Day 5,Entries 3,Entries5,chi,Runno,scan,MnOriMean,MnOriStd,MnNormedMean,MnNormedStd,,scan,originalactivation,stdoriginal,meanactivation,stdactivation
B04126,758.36,822.97,347.67,196.68,190.02,46.37,47.24,22.21,13.61,14.72,14.99,16.67,15.69,14.42,12.17,73.9,1,0,,59246,47522.2,5.53294441,7.598355325,1,1,1.80E-03,B04126,B04126,18923.47343,12311.38057,18923.47343,12311.38057,,B03864,32571.59921,19653.08339,32571.59921,19653.08339
B04129,888.75,546.31,299.7,419.81,110.34,45.27,26.54,16.41,25.21,6.73,19.29,18.57,16.98,16.08,15.73,73.9,1,0,,54827.6,58997.8,5.919896485,4.994138661,1,1,1.10E-03,B04129,B04129,17420.9831,9647.086728,17420.9831,9647.086728,,B03865,891831.3607,243625.9677,891831.3607,243625.9677
B04132,897.47,1023.97,351.68,208.12,117.78,52.78,60.06,20.54,13.11,8.92,16.8,17.07,15.9,16.06,13.07,73.9,1,0,,36656.9,44080.1,13.47904282,9.754874197,1,1,2.17E-04,B04132,B04132,17531.3021,14080.03717,17531.3021,14080.03717,,B03870,26415.32393,12650.61125,26415.32393,12650.61125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B03875,29863.02509,25705.56106,29863.02509,25705.56106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B03879,22676.91493,28614.2827,22676.91493,28614.2827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04006,16082.7379,9517.794226,16082.7379,9517.794226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04011,30239.38336,15391.06404,30239.38336,15391.06404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04016,27845.11992,13486.20654,27845.11992,13486.20654
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04020,16532.2534,15538.95456,16532.2534,15538.95456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04023,10939.87649,11185.71922,10939.87649,11185.71922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04026,20304.38058,17797.79939,20304.38058,17797.79939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04029,16167.36247,10817.0317,16167.36247,10817.0317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04032,23558.00514,14239.45377,23558.00514,14239.45377
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04035,16907.27153,10939.57532,16907.27153,10939.57532
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04038,18435.92646,13925.93994,18435.92646,13925.93994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04040,39815.40681,18081.15333,39815.40681,18081.15333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04044,24432.00924,18982.32061,24432.00924,18982.32061
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04047,14498.93499,14852.48534,14498.93499,14852.48534
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04050,38320.69203,19308.00514,38320.69203,19308.00514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04076,11653.17393,10313.44029,11653.17393,10313.44029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04079,15518.99226,11737.88312,15518.99226,11737.88312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04081,14415.70829,12556.60587,14415.70829,12556.60587
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04084,14074.66504,8524.133011,14074.66504,8524.133011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04087,11099.0966,7392.123591,11099.0966,7392.123591
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04090,11099.0966,7392.123591,11099.0966,7392.123591
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04093,18047.55504,13837.28081,18047.55504,13837.28081
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04096,8041.060723,7477.152032,8041.060723,7477.152032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04114,13766.9721,12945.45928,13766.9721,12945.45928
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04117,17130.63421,12159.88821,17130.63421,12159.88821
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04120,18921.05871,17769.77976,18921.05871,17769.77976
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04123,17194.99239,10417.49447,17194.99239,10417.49447
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04126,18923.47343,12311.38057,18923.47343,12311.38057
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04129,17420.9831,9647.086728,17420.9831,9647.086728
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04132,17531.3021,14080.03717,17531.3021,14080.03717
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04251,24726.45204,12909.80076,24726.45204,12909.80076
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04255,20199.93713,10602.50876,20199.93713,10602.50876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B04261,33650.69971,16081.5022,33650.69971,16081.5022
