Number,Structure,Abbreviation,Label_Num,,,,,,,,,,,
97,_96_Ventral_Lateral_Lemniscus_Nucleus,VII_L,96,2703,0.214440629,6.1734538,6.675734,3.5423255,96,0,0,96,96,259488
97,_96_Ventral_Lateral_Lemniscus_Nucleus,VII_R,1096,2703,0.214440629,6.1734538,6.675734,3.5423255,96,0,0,96,96,259488
98,_97_ParabrachialNucleus,ParB_L,97,6020,0.477592523,6.211462,5.5922956,5.2045898,97,0,0,97,97,583940
98,_97_ParabrachialNucleus,ParB_R,1097,6020,0.477592523,6.211462,5.5922956,5.2045898,97,0,0,97,97,583940
99,_98_Parabrachial_Medial_Nucleus_and_Koelliker_Fuse_Nucleus,KF_L,98,6800,0.539473281,6.2229023,5.5442071,4.6785674,98,1.81E-06,3.29E-12,98,98,666400
99,_98_Parabrachial_Medial_Nucleus_and_Koelliker_Fuse_Nucleus,KF_R,1098,6800,0.539473281,6.2229023,5.5442071,4.6785674,98,1.81E-06,3.29E-12,98,98,666400
100,_99_Parvicellular_Reticular_Nucleus_and_Principal_Sensory_Trigeminal_Nucleus,PCRt_L,99,55311,4.388059803,6.0787225,4.6141543,3.5369334,99,0,0,99,99,5475789
100,_99_Parvicellular_Reticular_Nucleus_and_Principal_Sensory_Trigeminal_Nucleus,PCRt_R,1099,55311,4.388059803,6.0787225,4.6141543,3.5369334,99,0,0,99,99,5475789
101,_100_Central_Gray,CG_L,100,23327,1.850631358,6.1523175,4.4757338,4.3693633,100,0,0,100,100,2332700
101,_100_Central_Gray,CG_R,1100,23327,1.850631358,6.1523175,4.4757338,4.3693633,100,0,0,100,100,2332700
102,_101_Pedunculotegmental__Medial_Paralemniscial__and_Supratrigemnial_Nuclei,Su5_L,101,2417,0.191751018,5.9064379,5.9724917,4.5653753,101,0,0,101,101,244117
102,_101_Pedunculotegmental__Medial_Paralemniscial__and_Supratrigemnial_Nuclei,Su5_R,1101,2417,0.191751018,5.9064379,5.9724917,4.5653753,101,0,0,101,101,244117
103,_102_Motor_Root_of_Trigeminal_Nerve,m5_L,102,1373,0.108926002,6.2344031,6.105989,3.6301267,102,0,0,102,102,140046
103,_102_Motor_Root_of_Trigeminal_Nerve,m5_R,1102,1373,0.108926002,6.2344031,6.105989,3.6301267,102,0,0,102,102,140046
104,_103_Trigeminal_Motor_Nucleus,5N_L,103,3760,0.298296991,6.3772368,5.792635,4.0064387,103,0,0,103,103,387280
104,_103_Trigeminal_Motor_Nucleus,5N_R,1103,3760,0.298296991,6.3772368,5.792635,4.0064387,103,0,0,103,103,387280
105,_104_Pontine_Reticular_Nucleus,PnC_,104,71118,5.642097179,6.143508,6.2399187,3.7564175,104,0,0,104,104,7396272
105,_104_Pontine_Reticular_Nucleus,PnC_R,1104,71118,5.642097179,6.143508,6.2399187,3.7564175,104,0,0,104,104,7396272
106,_105_Raphe_Nucleus,RaphN_L,105,9552,0.757801292,6.1327853,6.5225286,4.1012378,105,0,0,105,105,1002960
106,_105_Raphe_Nucleus,RaphN_R,1105,9552,0.757801292,6.1327853,6.5225286,4.1012378,105,0,0,105,105,1002960
107,_106_Trigeminal_Sensory_Nucleus,Pr5_L,106,7851,0.622853637,5.9760766,5.8762126,3.948837,106,0,0,106,106,832206
107,_106_Trigeminal_Sensory_Nucleus,Pr5_R,1106,7851,0.622853637,5.9760766,5.8762126,3.948837,106,0,0,106,106,832206
108,_108_Dorsal_Tegmental_Nucleus,Dteg_L,107,20189,1.601680305,6.1528072,5.3976545,4.6842909,107,0,0,107,107,2160223
108,_108_Dorsal_Tegmental_Nucleus,Dteg_R,1107,20189,1.601680305,6.1528072,5.3976545,4.6842909,107,0,0,107,107,2160223
109,_109_Tegmental_Nucleus,Tg_L,108,518,0.041095171,6.262013,5.002635,5.0059457,108,0,0,108,108,55944
109,_109_Tegmental_Nucleus,Tg_R,1108,518,0.041095171,6.262013,5.002635,5.0059457,108,0,0,108,108,55944
110,_110_CochealrNucleus,CoN_L,109,10396,0.824759446,6.4614182,5.1787915,3.7805626,109,2.07E-06,4.30E-12,109,109,1133164
110,_110_CochealrNucleus,CoN_R,1109,10396,0.824759446,6.4614182,5.1787915,3.7805626,109,2.07E-06,4.30E-12,109,109,1133164
111,_111_Pontine_Nucleus,Pn_L,110,14946,1.185730538,6.1432109,7.0409942,2.9369476,110,0,0,110,110,1644060
111,_111_Pontine_Nucleus,Pn_R,1110,14946,1.185730538,6.1432109,7.0409942,2.9369476,110,0,0,110,110,1644060
112,_112_Reticulotegmental_Nucleus_of_Pons,RTg_L,111,6523,0.517497679,6.1034288,6.5309744,3.254607,111,0,0,111,111,724053
112,_112_Reticulotegmental_Nucleus_of_Pons,Rtg_R,1111,6523,0.517497679,6.1034288,6.5309744,3.254607,111,0,0,111,111,724053
113,_113_Olivary_Complex,Ma,112,21819,1.730995224,6.1363864,5.3040557,2.6727688,112,0,0,112,112,2443728
113,_113_Olivary_Complex,Ma,1112,21819,1.730995224,6.1363864,5.3040557,2.6727688,112,0,0,112,112,2443728
114,_114_Pontine_Reticular_Nucleus_and_Intermediate_Reticular_Nucleus,PnRt_L,113,32678,2.592486454,6.1195397,5.4003601,3.3446078,113,0,0,113,113,3692614
114,_114_Pontine_Reticular_Nucleus_and_Intermediate_Reticular_Nucleus,PnRt_R,1113,32678,2.592486454,6.1195397,5.4003601,3.3446078,113,0,0,113,113,3692614
115,_115_Spinal_Trigeminal_Nucleus,Sp5_L,114,40644,3.224463536,6.0773578,2.5639515,3.6404276,114,0,0,114,114,4633416
115,_115_Spinal_Trigeminal_Nucleus,Sp5_R,1114,40644,3.224463536,6.0773578,2.5639515,3.6404276,114,0,0,114,114,4633416
116,_116_Vestibular_Nuclei,Ve_L,115,28923,2.294586134,6.1564994,4.5820007,4.5354295,115,2.03E-06,4.12E-12,115,115,3326145
116,_116_Vestibular_Nuclei,Ve_R,1115,28923,2.294586134,6.1564994,4.5820007,4.5354295,115,2.03E-06,4.12E-12,115,115,3326145
117,_117_Gigantocellular_Reticular_Nucleus,Gi_L,116,115409,9.155892929,6.1899314,3.6421676,3.2173662,116,2.03E-06,4.13E-12,116,116,13387444
117,_117_Gigantocellular_Reticular_Nucleus,Gi_R,1116,115409,9.155892929,6.1899314,3.6421676,3.2173662,116,2.03E-06,4.13E-12,116,116,13387444
118,_118_Cuneate_Nucleus,Cu_L,117,8081,0.641100527,6.4132724,3.265106,4.4068232,117,0,0,117,117,945477
118,_118_Cuneate_Nucleus,Cu_R,1117,8081,0.641100527,6.4132724,3.265106,4.4068232,117,0,0,117,117,945477
119,_119_Anterior_Commisure,ac_L,118,13316,1.05641562,6.1300001,11.927811,4.286478,118,0,0,118,118,1571288
119,_119_Anterior_Commisure,ac_R,1118,13316,1.05641562,6.1300001,11.927811,4.286478,118,0,0,118,118,1571288
120,_120_Optic_Tracts,ot_L,119,18806,1.49196096,6.1320004,9.7736368,3.1244719,119,0,0,119,119,2237914
120,_120_Optic_Tracts,ot_R,1119,18806,1.49196096,6.1320004,9.7736368,3.1244719,119,0,0,119,119,2237914
121,_121_Fimbria,fi_L,120,26839,2.12925344,6.1513448,9.7038488,6.0135465,120,0,0,120,120,3220680
121,_121_Fimbria,fi_R,1120,26839,2.12925344,6.1513448,9.7038488,6.0135465,120,0,0,120,120,3220680
122,_122_Corpus_Callosum,cc_L,121,187626,14.88517851,6.2582417,9.0758762,6.4039493,121,0,0,121,121,22702746
122,_122_Corpus_Callosum,cc_R,1121,187626,14.88517851,6.2582417,9.0758762,6.4039493,121,0,0,121,121,22702746
123,_123_Fornix,fx_L,122,6229,0.494173393,6.0973492,10.138033,4.3792286,122,0,0,122,122,759938
123,_123_Fornix,fx_R,1122,6229,0.494173393,6.0973492,10.138033,4.3792286,122,0,0,122,122,759938
124,_124_Stria_Terminalis,st_L,123,9756,0.77398549,6.1250639,9.4768105,5.3351626,123,2.47E-06,6.11E-12,123,123,1199988
124,_124_Stria_Terminalis,st_R,112,9756,0.77398549,6.1250639,9.4768105,5.3351626,123,2.47E-06,6.11E-12,123,123,1199988
125,_125_Cingulum,cg_L,124,14708,1.166848974,6.1694822,8.9815054,7.4045949,124,0,0,124,124,1823792
125,_125_Cingulum,cg_R,1124,14708,1.166848974,6.1694822,8.9815054,7.4045949,124,0,0,124,124,1823792
126,_126_lateral_olfactory_tract,lo_L,125,16295,1.292752517,6.1713738,13.195815,4.2337289,125,0,0,125,125,2036875
126,_126_lateral_olfactory_tract,lo_R,1125,16295,1.292752517,6.1713738,13.195815,4.2337289,125,0,0,125,125,2036875
127,_127_Ventral_Hippocampal_Commissure,vhc_L,126,1355,0.107497985,6.1121445,10.353114,6.2105904,126,0,0,126,126,170730
127,_127_Ventral_Hippocampal_Commissure,vhc_R,1126,1355,0.107497985,6.1121445,10.353114,6.2105904,126,0,0,126,126,170730
128,_128_Internal_Capsule,ic_L,127,34455,2.733463515,5.9522638,9.4493866,4.5883265,127,0,0,127,127,4375785
128,_128_Internal_Capsule,ic_R,1127,34455,2.733463515,5.9522638,9.4493866,4.5883265,127,0,0,127,127,4375785
129,_129_Fasciculus_Retroflexus,fr_L,128,1729,0.137169015,6.1046662,8.5139694,5.2102566,128,2.08E-06,4.31E-12,128,128,221312
129,_129_Fasciculus_Retroflexus,fr_R,1128,1729,0.137169015,6.1046662,8.5139694,5.2102566,128,2.08E-06,4.31E-12,128,128,221312
130,_130_Stria_Medularis,sm_L,129,4444,0.352561656,6.0677047,9.9588127,5.4161744,129,0,0,129,129,573276
130,_130_Stria_Medularis,sm_R,1129,4444,0.352561656,6.0677047,9.9588127,5.4161744,129,0,0,129,129,573276
131,_131_Mamillothalamic_Tract,mt_L,130,1337,0.106069967,6.0766134,9.0308819,3.9331379,130,0,0,130,130,173810
131,_131_Mamillothalamic_Tract,mt_R,1130,1337,0.106069967,6.0766134,9.0308819,3.9331379,130,0,0,130,130,173810
132,_132_Posterior_Commissure,pc_L,131,1074,0.085205045,6.0965433,7.8962655,5.930212,131,0,0,131,131,140694
132,_132_Posterior_Commissure,pc_R,1131,1074,0.085205045,6.0965433,7.8962655,5.930212,131,0,0,131,131,140694
133,_133_Brachium_of_Superior_Colliculus,bsc_L,132,3687,0.292505587,6.1727567,7.8612361,6.0418396,132,0,0,132,132,486684
133,_133_Brachium_of_Superior_Colliculus,bsc_R,1132,3687,0.292505587,6.1727567,7.8612361,6.0418396,132,0,0,132,132,486684
134,_134_Cerebral_Peduncle,cp_L,133,20982,1.66459241,6.2006965,8.0596485,3.7639215,133,0,0,133,133,2790606
134,_134_Cerebral_Peduncle,cp_R,1133,20982,1.66459241,6.2006965,8.0596485,3.7639215,133,0,0,133,133,2790606
135,_135_Lateral_Lemniscus,ll_L,134,8824,0.700045917,6.0862117,6.1618609,4.901835,134,0,0,134,134,1182416
135,_135_Lateral_Lemniscus,ll_R,1134,8824,0.700045917,6.0862117,6.1618609,4.901835,134,0,0,134,134,1182416
136,_136_Spinal_Trigeminal_Nerve,sp5_L,135,32924,2.612002693,6.3044877,4.7454262,3.474956,135,0,0,135,135,4444740
136,_136_Spinal_Trigeminal_Nerve,sp5_R,1135,32924,2.612002693,6.3044877,4.7454262,3.474956,135,0,0,135,135,4444740
137,_137_Pyramidal_Tract,py_L,136,10717,0.850225758,6.1881599,5.1125269,2.3754275,136,0,0,136,136,1457512
137,_137_Pyramidal_Tract,py_R,1136,10717,0.850225758,6.1881599,5.1125269,2.3754275,136,0,0,136,136,1457512
138,_138_Vestibulocochlear_Nerve,n8_L,137,2552,0.202461149,6.1026793,5.0896869,4.0852332,137,0,0,137,137,349624
138,_138_Vestibulocochlear_Nerve,n8_R,1137,2552,0.202461149,6.1026793,5.0896869,4.0852332,137,0,0,137,137,349624
139,_139_Facial_Nerve,n7_L,138,1710,0.135661663,6.2071471,5.3494959,3.6565931,138,0,0,138,138,235980
139,_139_Facial_Nerve,n7_R,1138,1710,0.135661663,6.2071471,5.3494959,3.6565931,138,0,0,138,138,235980
140,_140_Longitudinal_Fasciculus_of_Pons,lfp_L,139,1678,0.133122966,6.0983839,6.702858,2.9206736,139,0,0,139,139,233242
140,_140_Longitudinal_Fasciculus_of_Pons,lfp_R,1139,1678,0.133122966,6.0983839,6.702858,2.9206736,139,0,0,139,139,233242
141,_141_Medial_Longitudinal_Fasciculus_and_Tectospinal_Tract,mlf_ts_R,140,30965,2.456586787,6.1518149,3.943491,3.3377314,140,0,0,140,140,4335100
141,_141_Medial_Longitudinal_Fasciculus_and_Tectospinal_Tract,mlf_ts_R,1140,30965,2.456586787,6.1518149,3.943491,3.3377314,140,0,0,140,140,4335100
142,_142_Spinocerebellar_Tract,sc_L,141,8641,0.685527739,5.9681425,2.5687075,2.6608322,141,0,0,141,141,1218381
142,_142_Spinocerebellar_Tract,sc_R,1141,8641,0.685527739,5.9681425,2.5687075,2.6608322,141,0,0,141,141,1218381
143,_143_Medial_Lemniscus,ml_L,142,4728,0.375092599,6.0893517,8.4142962,4.4152784,142,0,0,142,142,671376
143,_143_Medial_Lemniscus,ml_R,1142,4728,0.375092599,6.0893517,8.4142962,4.4152784,142,0,0,142,142,671376
144,_144_Ventral_Spinocerebellar_Tract,vsc_L,143,11361,0.901317051,6.1521745,6.0149045,4.2359328,143,0,0,143,143,1624623
144,_144_Ventral_Spinocerebellar_Tract,vsc_R,1143,11361,0.901317051,6.1521745,6.0149045,4.2359328,143,0,0,143,143,1624623
145,_145_Middle_Cerebellar_Peduncle,mcp_L,144,15481,1.228174392,6.0083666,6.3731475,3.8121283,144,0,0,144,144,2229264
145,_145_Middle_Cerebellar_Peduncle,mcp_R,1144,15481,1.228174392,6.0083666,6.3731475,3.8121283,144,0,0,144,144,2229264
146,_146_Superior_Cerebellar_Peduncle_dtgx_vtgx,scp_L,145,9329,0.740109741,6.1304178,5.5872302,4.9977818,145,0,0,145,145,1352705
146,_146_Superior_Cerebellar_Peduncle_dtgx_vtgx,scp_R,1145,9329,0.740109741,6.1304178,5.5872302,4.9977818,145,0,0,145,145,1352705
147,_147_Inferior_Cerebellar_Peduncle,icp_oc_tz_L,146,10291,0.816429344,6.2624331,4.5080209,4.0490866,146,0,0,146,146,1502486
147,_147_Inferior_Cerebellar_Peduncle,icp_oc_tz_R,1146,10291,0.816429344,6.2624331,4.5080209,4.0490866,146,0,0,146,146,1502486
148,_148_Cerebellar_White_Matter,cbw_L,147,127167,10.0887057,6.1728792,4.1746373,5.6477485,147,0,0,147,147,18693548
148,_148_Cerebellar_White_Matter,cbw_R,1147,127167,10.0887057,6.1728792,4.1746373,5.6477485,147,0,0,147,147,18693548
149,_150_LateralVentricles,LV_L,148,34985,2.775510698,5.9614325,9.7158766,5.6677608,148,0,0,148,148,5177780
149,_150_LateralVentricles,LV_R,1148,34985,2.775510698,5.9614325,9.7158766,5.6677608,148,0,0,148,148,5177780
150,_151_Cingulate_Cortex_Area_25,A25_L,149,5369,0.425945889,6.0888677,12.333932,5.4200444,149,0,0,149,149,799981
150,_151_Cingulate_Cortex_Area_25,A25_R,1149,5369,0.425945889,6.0888677,12.333932,5.4200444,149,0,0,149,149,799981
151,_152_Dorsal_Acoustic_Stria,das_L,150,681,0.054026662,5.9093285,4.4387259,4.72543,150,0,0,150,150,102150
151,_152_Dorsal_Acoustic_Stria,das_R,1150,681,0.054026662,5.9093285,4.4387259,4.72543,150,0,0,150,150,102150
152,_153_PostSubiculum,Post_L,151,9713,0.770574115,6.0466003,6.5375509,6.8299971,151,0,0,151,151,1466663
152,_153_PostSubiculum,Post_R,1151,9713,0.770574115,6.0466003,6.5375509,6.8299971,151,0,0,151,151,1466663
153,_154_Fourth_Ventricle,4V_L,152,13190,1.046419497,6.3196378,4.3449841,4.7425971,152,0,0,152,152,2004880
153,_154_Fourth_Ventricle,4V_R,1152,13190,1.046419497,6.3196378,4.3449841,4.7425971,152,0,0,152,152,2004880
154,_156_Microcellular_Tegmental_Nucleus,MiTg_L,153,11996,0.951694336,6.2063847,6.637476,5.4048319,153,0,0,153,153,1835388
154,_156_Microcellular_Tegmental_Nucleus,MiTg_R,1153,11996,0.951694336,6.2063847,6.637476,5.4048319,153,0,0,153,153,1835388
155,_157_Pretectal_Nucleus,APT_L,154,1600,0.12693489,6.0382323,8.1821814,6.3016672,154,0,0,154,154,246400
155,_157_Pretectal_Nucleus,APT_R,1154,1600,0.12693489,6.0382323,8.1821814,6.3016672,154,0,0,154,154,246400
156,_158_LDVL_laterodorsal_ThalamicNucleus_VentroLateral,LDVL_L,155,2892,0.229434813,6.1147041,9.1320982,6.0882101,155,0,0,155,155,448260
156,_158_LDVL_laterodorsal_ThalamicNucleus_VentroLateral,LDVL_R,1155,2892,0.229434813,6.1147041,9.1320982,6.0882101,155,0,0,155,155,448260
157,_159_LaterposteriorNucleusofThalamus,LP_L,156,3600,0.285603502,6.137392,8.6340046,6.1285181,156,0,0,156,156,561600
157,_159_LaterposteriorNucleusofThalamus,LP_R,1156,3600,0.285603502,6.137392,8.6340046,6.1285181,156,0,0,156,156,561600
158,_160_AnteriorThalamicNuclei,Athal_L,157,12736,1.010401722,6.088501,10.048944,5.2672215,157,0,0,157,157,1999552
158,_160_AnteriorThalamicNuclei,Athal_R,1157,12736,1.010401722,6.088501,10.048944,5.2672215,157,0,0,157,157,1999552
159,_161_RedNucleus_magnocellular,RMC_L,158,2105,0.166998714,6.1058307,7.0593014,4.4401345,158,0,0,158,158,332590
159,_161_RedNucleus_magnocellular,RMC_R,1158,2105,0.166998714,6.1058307,7.0593014,4.4401345,158,0,0,158,158,332590
160,_162_PararubralNucleus,PaR_L,159,429,0.034034417,5.9603581,7.2202682,4.3962374,159,0,0,159,159,68211
160,_162_PararubralNucleus,PaR_R,1159,429,0.034034417,5.9603581,7.2202682,4.3962374,159,0,0,159,159,68211
161,_163_RetroRubralField_partmidbrainreicular,6281,160,6281,0.498298776,6.2628498,7.2281928,4.6417022,160,0,0,160,160,1004960
161,_163_RetroRubralField_partmidbrainreicular,6281,1160,6281,0.498298776,6.2628498,7.2281928,4.6417022,160,0,0,160,160,1004960
162,_164_CSF,CSF_L,161,6869,0.544947348,6.1106362,8.14746,6.8132448,161,0,0,161,161,1105909
162,_164_CSF,CSF_R,1161,6869,0.544947348,6.1106362,8.14746,6.8132448,161,0,0,161,161,1105909
163,_165_IntermediateReticularNucleus,IRN_L,162,23615,1.873479638,6.2231712,4.2595944,3.6142704,162,0,0,162,162,3825630
163,_165_IntermediateReticularNucleus,IRN_R,1162,23615,1.873479638,6.2231712,4.2595944,3.6142704,162,0,0,162,162,3825630
164,_166_PHD_PaMP_Post_and_LateralHypothalamus,14468,163,14468,1.14780874,6.1673627,8.1094255,3.9636176,163,0,0,163,163,2358284
164,_166_PHD_PaMP_Post_and_LateralHypothalamus,14468,1163,14468,1.14780874,6.1673627,8.1094255,3.9636176,163,0,0,163,163,2358284
165,_167_Prerubral_Forel,PreFor_L,164,2210,0.175328816,6.1895251,8.2363501,4.4698615,164,0,0,164,164,362440
165,_167_Prerubral_Forel,PreFor_R,1164,2210,0.175328816,6.1895251,8.2363501,4.4698615,164,0,0,164,164,362440
166,_168_PVG_ofHypothalamus,1327,165,1327,0.105276624,6.1136947,8.0097227,4.2300129,165,0,0,165,165,218955
166,_168_PVG_ofHypothalamus,1327,1165,1327,0.105276624,6.1136947,8.0097227,4.2300129,165,0,0,165,165,218955
167,_169_BasalateralAmygdala_BLA,BLA_L,167,25806,2.047301102,6.5815735,8.8538599,3.4798503,166,0,0,166,166,4283796
167,_169_BasalateralAmygdala_BLA,BLA_R,1167,25806,2.047301102,6.5815735,8.8538599,3.4798503,166,0,0,166,166,4283796
