Number,Structure,Abbreviation,Label_Num,,,,,,,,,,,
25,_24_primary_somatosensory_cortex,S1_L,24,11742,0.931543422,6.3122902,8.1714249,7.4788184,24,0,0,24,24,281808
25,_24_primary_somatosensory_cortex,S1_R,1024,11742,0.931543422,6.3122902,8.1714249,7.4788184,24,0,0,24,24,281808
26,_25_primary_somatosensory_cortex__barrel_field,S1BF_L,25,125242,9.93598716,6.0777068,9.5570488,7.1021075,25,0,0,25,25,3131050
26,_25_primary_somatosensory_cortex__barrel_field,S1BF_R,1025,125242,9.93598716,6.0777068,9.5570488,7.1021075,25,0,0,25,25,3131050
27,_26_primary_somatosensory_cortex__dysgranular_zone,S1DZ_L,26,21492,1.705052906,6.1432238,10.001691,7.4209576,26,0,0,26,26,558792
27,_26_primary_somatosensory_cortex__dysgranular_zone,S1DZ_R,1026,21492,1.705052906,6.1432238,10.001691,7.4209576,26,0,0,26,26,558792
28,_27_primary_somatosensory_cortex__forelimb_region,S1FL_L,27,52514,4.166161749,6.1349897,10.430456,7.4583964,27,0,0,27,27,1417878
28,_27_primary_somatosensory_cortex__forelimb_region,S1FL_R,1027,52514,4.166161749,6.1349897,10.430456,7.4583964,27,0,0,27,27,1417878
29,_28_primary_somatosensory_cortex__hindlimb_region,S1HL_L,28,42704,3.387892206,6.036108,9.8634272,7.8156304,28,0,0,28,28,1195712
29,_28_primary_somatosensory_cortex__hindlimb_region,S1HL_R,1028,42704,3.387892206,6.036108,9.8634272,7.8156304,28,0,0,28,28,1195712
30,_29_primary_somatosensory_cortex__jaw_region,S1J_L,29,48878,3.877702212,6.1349845,11.948823,6.397377,29,5.52E-07,3.05E-13,29,29,1417462
30,_29_primary_somatosensory_cortex__jaw_region,S1J_R,1029,48878,3.877702212,6.1349845,11.948823,6.397377,29,5.52E-07,3.05E-13,29,29,1417462
31,_30_primary_somatosensory_cortex__shoulder_region,S1Sh_L,30,2166,0.171838107,6.1380668,9.0216322,7.8779669,30,0,0,30,30,64980
31,_30_primary_somatosensory_cortex__shoulder_region,S1Sh_R,1030,2166,0.171838107,6.1380668,9.0216322,7.8779669,30,0,0,30,30,64980
32,_31_primary_somatosensory_cortex__trunk_region,S1Tr_L,31,9186,0.728764936,6.1468644,8.6747065,8.088253,31,0,0,31,31,284766
32,_31_primary_somatosensory_cortex__trunk_region,S1Tr_R,1031,9186,0.728764936,6.1468644,8.6747065,8.088253,31,0,0,31,31,284766
33,_32_primary_somatosensory_cortex__upper_lip_region,S1ULp_L,32,66883,5.306116393,6.1687512,10.710074,6.3870716,32,0,0,32,32,2140256
33,_32_primary_somatosensory_cortex__upper_lip_region,S1ULp_R,1032,66883,5.306116393,6.1687512,10.710074,6.3870716,32,0,0,32,32,2140256
34,_33_secondary_somatosensory_cortex,S2_L,33,83341,6.611800402,6.2336879,10.123708,5.6463585,33,0,0,33,33,2750253
34,_33_secondary_somatosensory_cortex,S2_R,1033,83341,6.611800402,6.2336879,10.123708,5.6463585,33,0,0,33,33,2750253
35,_34_temporal_association_cortex,TeA_L,34,40981,3.251199197,6.0013461,7.3035903,5.9662604,34,0,0,34,34,1393354
35,_34_temporal_association_cortex,TeA_R,1034,40981,3.251199197,6.0013461,7.3035903,5.9662604,34,0,0,34,34,1393354
36,_35_primary_visual_cortex,V1_L,35,8458,V1_L,6.0834885,7.9189582,7.9493213,35,0,0,35,35,296030
36,_35_primary_visual_cortex,V1_R,1035,8458,0.671009561,6.0834885,7.9189582,7.9493213,35,0,0,35,35,296030
37,_36_primary_visual_cortex__binocular_area,V1B_L,36,30447,2.415491617,6.1732273,6.8922014,7.563633,36,0,0,36,36,1096092
37,_36_primary_visual_cortex__binocular_area,V1B_R,1036,30447,2.415491617,6.1732273,6.8922014,7.563633,36,0,0,36,36,1096092
38,_37_primary_visual_cortex__monocular_area,V1M_L,37,67875,5.384816024,6.2247615,6.3295937,7.6423244,37,0,0,37,37,2511375
38,_37_primary_visual_cortex__monocular_area,V1M_R,1037,67875,5.384816024,6.2247615,6.3295937,7.6423244,37,0,0,37,37,2511375
39,_38_secondary_visual_cortex__lateral_area,V2L_L,38,37579,2.981303888,6.2822714,6.8646069,7.1254792,38,0,0,38,38,1428002
39,_38_secondary_visual_cortex__lateral_area,V2L_R,1038,37579,2.981303888,6.2822714,6.8646069,7.1254792,38,0,0,38,38,1428002
40,_39_secondary_visual_cortex__mediolateral_area,V2ML_L,39,17096,1.356299296,6.1499095,7.3543735,8.2095003,39,0,0,39,39,666744
40,_39_secondary_visual_cortex__mediolateral_area,V2ML_R,1039,17096,1.356299296,6.1499095,7.3543735,8.2095003,39,0,0,39,39,666744
